antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'other vegetables'}),frozenset({'whole milk'}),0.3766033863519754,0.4581836839404823,0.1913801949717804,0.5081743869209809,1.1091062487222754,0.01882666802857158,1.1016431467802936,0.15780182923465622
frozenset({'whole milk'}),frozenset({'other vegetables'}),0.4581836839404823,0.3766033863519754,0.1913801949717804,0.4176931690929451,1.1091062487222754,0.01882666802857158,1.0705637999763191,0.1815617637501016
frozenset({'yogurt'}),frozenset({'other vegetables'}),0.28296562339661363,0.3766033863519754,0.12031811185223192,0.4252039891205803,1.1290498294223583,0.013752299859869463,1.0845527836810274,0.15940588394597419
frozenset({'pastry'}),frozenset({'whole milk'}),0.1775269368907132,0.4581836839404823,0.09107234479220112,0.5130057803468208,1.119650913657283,0.00973239884894464,1.11257237600352,0.12993067575760225
frozenset({'pip fruit'}),frozenset({'whole milk'}),0.17060030785017957,0.4581836839404823,0.08696767573114418,0.5097744360902257,1.1125984053077824,0.008801398198968524,1.1052388042318386,0.12201969548908895
frozenset({'pork'}),frozenset({'whole milk'}),0.13237557721908672,0.4581836839404823,0.06695741405849154,0.5058139534883721,1.103954530065887,0.006305084424502602,1.0963812513204358,0.10853266447793256
frozenset({'shopping bags'}),frozenset({'rolls/buns'}),0.16829143150333503,0.3496664956387891,0.06875320677270395,0.4085365853658537,1.16836068213947,0.00990733167289748,1.0995329352086451,0.17325770898745033
frozenset({'rolls/buns'}),frozenset({'whole milk'}),0.3496664956387891,0.4581836839404823,0.17855310415597742,0.5106382978723404,1.1144838102499344,0.018341621033638428,1.1071898632520578,0.1579552925706771
frozenset({'root vegetables'}),frozenset({'whole milk'}),0.23063109286813752,0.4581836839404823,0.11313494099538225,0.4905450500556173,1.0706296781169071,0.0074635372338395095,1.0635215461517609,0.08574589110958375
frozenset({'sausage'}),frozenset({'whole milk'}),0.2060030785017958,0.4581836839404823,0.10697793740379682,0.5193026151930261,1.1333939496206136,0.012590687992763652,1.1271463777093076,0.14823010735192135
frozenset({'shopping bags'}),frozenset({'whole milk'}),0.16829143150333503,0.4581836839404823,0.09132888660851719,0.5426829268292683,1.1844221997651108,0.014220498546701807,1.184771677783479,0.18721277613347298
frozenset({'soda'}),frozenset({'whole milk'}),0.3134940995382247,0.4581836839404823,0.15110312981015905,0.48199672667757776,1.0519726990980953,0.007465248390130991,1.0459708344782475,0.071965861420512
frozenset({'tropical fruit'}),frozenset({'whole milk'}),0.2337095946639302,0.4581836839404823,0.11646998460749101,0.4983534577387486,1.0876717683458241,0.009388061552134577,1.080075851050811,0.1051885630684507
frozenset({'whipped/sour cream'}),frozenset({'whole milk'}),0.15469471523858389,0.4581836839404823,0.0797845048742945,0.5157545605306799,1.1256502110574413,0.008905910360156269,1.1188878033694836,0.1320523642467149
frozenset({'yogurt'}),frozenset({'whole milk'}),0.28296562339661363,0.4581836839404823,0.15059004617752694,0.5321849501359928,1.1615100423460805,0.020939814421151365,1.1581848771582328,0.19392624332206754
"frozenset({'rolls/buns', 'other vegetables'})",frozenset({'whole milk'}),0.14674191893278604,0.4581836839404823,0.08209338122113904,0.5594405594405595,1.2209962489917698,0.01485862821601952,1.2298370348652548,0.2121241731809981
"frozenset({'rolls/buns', 'whole milk'})",frozenset({'other vegetables'}),0.17855310415597742,0.3766033863519754,0.08209338122113904,0.45977011494252873,1.2208337248269598,0.014849677552340984,1.1539469231357053,0.2202061211742661
"frozenset({'other vegetables', 'whole milk'})",frozenset({'rolls/buns'}),0.1913801949717804,0.3496664956387891,0.08209338122113904,0.42895442359249325,1.2267530030546874,0.015174139110688378,1.1388469348672847,0.22858700824873088
"frozenset({'soda', 'other vegetables'})",frozenset({'whole milk'}),0.1241662390969728,0.4581836839404823,0.06926629040533606,0.5578512396694215,1.2175275096480431,0.012375345554850321,1.2254163409944234,0.20399227581418555
"frozenset({'soda', 'whole milk'})",frozenset({'other vegetables'}),0.15110312981015905,0.3766033863519754,0.06926629040533606,0.45840407470288624,1.2172064599399528,0.012360340030448044,1.1510363806855377,0.21021008920676482
"frozenset({'other vegetables', 'yogurt'})",frozenset({'whole milk'}),0.12031811185223192,0.4581836839404823,0.07183170856849666,0.5970149253731343,1.303003459744948,0.016703912835278036,1.3445071546662106,0.26434820647419066
"frozenset({'yogurt', 'whole milk'})",frozenset({'other vegetables'}),0.15059004617752694,0.3766033863519754,0.07183170856849666,0.4770017035775127,1.2665889921969649,0.015118987227139669,1.1919668150208158,0.24779307071665865
"frozenset({'soda', 'rolls/buns'})",frozenset({'whole milk'}),0.11980502821959979,0.4581836839404823,0.06516162134427912,0.54389721627409,1.187072423872566,0.010268912160029446,1.1879259136140603,0.1790414860340068
"frozenset({'soda', 'whole milk'})",frozenset({'rolls/buns'}),0.15110312981015905,0.3496664956387891,0.06516162134427912,0.4312393887945671,1.2332877017763921,0.012325919463507758,1.1434221912500098,0.2228294106029132
"frozenset({'rolls/buns', 'yogurt'})",frozenset({'whole milk'}),0.11133914828116984,0.4581836839404823,0.0659312467932273,0.5921658986175116,1.2924203095246696,0.014917465666965286,1.3285213625414165,0.2546054582543291
"frozenset({'yogurt', 'whole milk'})",frozenset({'rolls/buns'}),0.15059004617752694,0.3496664956387891,0.0659312467932273,0.43781942078364566,1.2521057242954152,0.013274953068248031,1.156805354727366,0.23704148534480646
